index,hub,latitude,longitude,invest,capacity,county,lpfactor,tier,adjusted_investment_cost
22,17943,28.30487,-97.27077,3476219,75000,48391,0.589673971,Small,1281147.4136222806
24,17952,31.83528,-99.42767,3476219,75000,48083,0.582691825,Small,1265977.7457560468
14,17784,33.80926,-98.20263,3476219,75000,48077,0.886732548,Small,1926547.8320475074
23,17945,34.16258,-99.28511,3476219,75000,48487,0.522391472,Small,1134966.975
28,18082,28.97925,-96.64108,3476219,75000,48239,0.890540991,Small,1934822.1957456432
31,18288,31.46407,-96.05569,3476219,75000,48289,1.007333253,Small,2188569.3708815044
13,17717,31.31149,-96.89577,3476219,75000,48145,0.656321728,Small,1425948.7881165198
18,17896,32.01159,-97.60146,3476219,75000,48035,0.960997192,Small,2087897.936110655
8,17466,32.61514,-99.81358,3476219,75000,48253,0.561110646,Small,1219089.6804546714
30,18286,31.52048,-96.53385,3476219,75000,48293,0.859438704,Small,1867248.22
4,17372,30.75623,-98.6777,3476219,75000,48299,1.821705378,Small,3957904.279628614
26,18042,29.67922,-96.90505,3476219,300000,48149,1.613510478,Medium,5608915.780322682
5,17395,30.84636,-96.98711,3476219,300000,48331,0.949571863,Medium,3300919.752025997
20,17934,32.66522,-98.11879,3476219,300000,48363,0.961631933,Medium,3342843.196501327
21,17942,27.22154,-97.79276,3476219,300000,48273,0.814372125,Medium,2830935.853995375
25,18029,28.79749,-96.04837,3476219,300000,48321,0.985117333,Medium,3424483.5902039274
15,17792,33.57332,-96.17934,3476219,300000,48147,1.226318742,Medium,4262952.510996497
3,17359,29.3199,-96.10283,3476219,300000,48481,1.079693675,Medium,3753251.667214825
19,17931,33.63246,-97.14212,3476219,300000,48097,1.314547679,Medium,4569655.618145701
1,17201,33.64844,-95.56841,3476219,300000,48277,0.96988356,Medium,3371527.659
10,17592,32.09099,-96.46175,3476219,300000,48349,0.903235802,Medium,3139845.456392638
29,18127,28.03355,-97.50889,3476219,300000,48409,1.040339761,Medium,3616448.8436436593
33,18303,31.12247,-97.89691,3476219,600000,48099,0.973057263,Large,5073840.218592895
12,17679,28.80078,-96.99545,3476219,600000,48469,1.150149876,Large,5997259.277698266
11,17620,33.85992,-98.59059,3476219,600000,48485,0.818815309,Large,4269572.001955006
2,17218,33.64124,-96.60666,3476219,600000,48181,1.313278198,Large,6847863.936260043
32,18294,32.73281,-96.27324,3476219,600000,48257,1.630648472,Large,8502736.801031053
27,18063,31.52763,-97.1561,3476219,600000,48309,1.24663044,Large,6500340.632259538
6,17404,27.78539,-97.48694,3476219,600000,48355,1.127933957,Large,5881418.178102875
16,17822,31.05457,-97.44847,3476219,600000,48027,1.245995699,Large,6497030.884173121
7,17447,29.15865,-95.43123,3476219,600000,48039,1.630648472,Large,8502736.801031053
9,17507,30.63113,-97.66856,3476219,600000,48491,2.349174775,Large,12249368.980763586
17,17829,29.57347,-95.77679,3476219,600000,48157,2.092104852,Large,10908921.95477188
