index,plant,county,distance,cost,fpfactor,adjusted_cost
1.0_79,541,48155,458.5288245827454,78.04338440052334,1.071313634,79.4347737383384
1.0_16,541,48031,63.66263113905476,16.128291107332736,0.995556719,16.110375474972816
1.0_111,541,48219,574.8258085512439,96.2787733289328,0.862520187,92.96967639065004
1.0_150,541,48299,105.37292728593684,22.668473376922464,1.024011756,22.804550839827254
1.0_219,541,48437,607.9575089167965,101.4738301688336,0.949363479,100.18925973575995
1.0_225,541,48449,423.6702712896504,72.57755669725753,1.001099908,72.59751385606548
1.0_175,541,48349,235.86878992633524,43.130249147827605,1.040641322,43.568466733716875
1.0_20,541,48039,248.6570701606561,45.13545389038137,0.942342106,44.484850086368
1.0_109,541,48215,425.9579103,72.93625892531301,0.967471229,72.34312720926846
1.0_5,541,48009,386.9703543566335,66.82300282941895,1.002578092,66.86607179167157
1.0_196,541,48391,217.1897498738165,40.20137215941593,0.996665357,40.16785785335048
1.0_2,541,48003,520.4861244730088,87.75830065973682,1.032511312,88.47158503307143
1.0_85,541,48167,283.5164449252096,50.60141040052613,0.961558494,50.115111795146056
1.0_62,541,48123,131.53761033291983,26.771100592771297,1.005534459,26.808141482425192
1.0_90,541,48177,87.99902407683055,19.944242090680227,0.979296699,19.84101417887517
1.0_241,541,48481,180.24193225792888,34.40794741794411,0.969688505,34.14720833641429
1.0_75,541,48147,404.73192912948537,69.60802108966647,0.942342106,68.60465811428203
1.0_154,541,48313,192.4441884318136,36.32126347775822,1.008121281,36.3950072745027
1.0_171,541,48341,733.7051434,121.19108287214851,0.919060713,118.7388029125411
1.0_229,541,48457,328.6567728,57.67942229417509,1.002208546,57.71126920852262
1.0_148,541,48295,711.9941589462902,117.78679643295034,1.023272664,118.47209956720546
1.0_26,541,48051,111.7604909937614,23.67004456598034,0.981144428,23.55846650859108
1.0_125,541,48247,364.3140856147488,63.27049563553728,1.058379527,64.19392103760184
1.0_224,541,48447,356.34081065306015,62.020284624055456,1.071313634,63.12600759361939
1.0_137,541,48273,308.9612013728286,54.59115299038273,0.981144428,54.33381613643944
1.0_210,541,48419,385.0321915466427,66.51909853679918,0.97560124,66.11335265664525
